01-12-2018 00:43:08:980 groupXX@192.168.1.141:35005 [INFO] : -- *** --> Server -- local node: [192.168.1.141,35005,groupXX@192.168.1.141:35005]
01-12-2018 00:43:09:145 groupXX@192.168.1.141:35005 [INFO] : -- *** --> Server -- participants: [groupXX@192.168.1.141:35000, groupXX@192.168.1.141:35001, groupXX@192.168.1.141:35002, groupXX@192.168.1.141:35003, groupXX@192.168.1.141:35004, groupXX@192.168.1.141:35005, groupXX@192.168.1.141:35006, groupXX@192.168.1.141:35007, groupXX@192.168.1.141:35008, groupXX@192.168.1.141:35009, groupXX@192.168.1.141:35010, groupXX@192.168.1.141:35011, groupXX@192.168.1.141:35012, groupXX@192.168.1.141:35013, groupXX@192.168.1.141:35014]
01-12-2018 00:43:13:805 groupXX@192.168.1.141:35005 [INFO] : [groupXX@192.168.1.141:35005] ADD recipe: scudrwse
01-12-2018 00:43:29:482 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 1] TSAE session
01-12-2018 00:43:29:898 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 2] TSAE session
01-12-2018 00:43:30:112 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 3] TSAE session
01-12-2018 00:43:30:698 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 4] TSAE session
01-12-2018 00:43:31:173 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 5] TSAE session
01-12-2018 00:43:31:573 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 6] TSAE session
01-12-2018 00:43:31:953 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 7] TSAE session
01-12-2018 00:43:32:356 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 8] TSAE session
01-12-2018 00:43:32:752 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 9] TSAE session
01-12-2018 00:43:33:211 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 10] TSAE session
01-12-2018 00:43:33:540 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 11] TSAE session
01-12-2018 00:43:33:825 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 12] TSAE session
01-12-2018 00:43:34:202 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 13] TSAE session
01-12-2018 00:43:34:313 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 14] TSAE session
01-12-2018 00:43:49:479 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 15] TSAE session
01-12-2018 00:43:49:706 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 16] TSAE session
01-12-2018 00:43:50:076 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 17] TSAE session
01-12-2018 00:43:50:470 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 18] TSAE session
01-12-2018 00:43:50:766 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 19] TSAE session
01-12-2018 00:43:50:769 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 20] TSAE session
01-12-2018 00:43:50:773 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 21] TSAE session
01-12-2018 00:43:51:251 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 22] TSAE session
01-12-2018 00:43:51:446 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 23] TSAE session
01-12-2018 00:43:51:800 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 24] TSAE session
01-12-2018 00:43:52:101 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 25] TSAE session
01-12-2018 00:43:52:526 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 26] TSAE session
01-12-2018 00:43:52:906 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 27] TSAE session
01-12-2018 00:43:53:222 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 28] TSAE session
