01-12-2018 14:57:20:724 groupXX@192.168.1.141:35013 [INFO] : -- *** --> Server -- local node: [192.168.1.141,35013,groupXX@192.168.1.141:35013]
01-12-2018 14:57:20:774 groupXX@192.168.1.141:35013 [INFO] : -- *** --> Server -- participants: [groupXX@192.168.1.141:35000, groupXX@192.168.1.141:35001, groupXX@192.168.1.141:35002, groupXX@192.168.1.141:35003, groupXX@192.168.1.141:35004, groupXX@192.168.1.141:35005, groupXX@192.168.1.141:35006, groupXX@192.168.1.141:35007, groupXX@192.168.1.141:35008, groupXX@192.168.1.141:35009, groupXX@192.168.1.141:35010, groupXX@192.168.1.141:35011, groupXX@192.168.1.141:35012, groupXX@192.168.1.141:35013, groupXX@192.168.1.141:35014]
01-12-2018 14:57:29:741 groupXX@192.168.1.141:35013 [INFO] : [groupXX@192.168.1.141:35013] ADD recipe: acbscpac
01-12-2018 14:57:40:820 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 1] TSAE session
01-12-2018 14:57:40:853 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 2] TSAE session
01-12-2018 14:57:40:892 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 3] TSAE session
01-12-2018 14:57:40:937 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 4] TSAE session
01-12-2018 14:57:40:970 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 5] TSAE session
01-12-2018 14:57:41:023 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 6] TSAE session
01-12-2018 14:57:41:068 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 7] TSAE session
01-12-2018 14:57:41:116 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 8] TSAE session
01-12-2018 14:57:41:159 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 9] TSAE session
01-12-2018 14:57:41:217 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 10] TSAE session
01-12-2018 14:57:41:272 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 11] TSAE session
01-12-2018 14:57:41:311 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 12] TSAE session
01-12-2018 14:57:41:346 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 13] TSAE session
01-12-2018 14:57:41:416 groupXX@192.168.1.141:35013 [TRACE] : [TSAESessionOriginatorSide] [session: 14] TSAE session
01-12-2018 14:57:49:740 groupXX@192.168.1.141:35013 [INFO] : [groupXX@192.168.1.141:35013] ADD recipe: ferfmwnm
