30-11-2018 20:21:54:690 groupXX@192.168.1.128:35007 [INFO] : -- *** --> Server -- local node: [192.168.1.128,35007,groupXX@192.168.1.128:35007]
30-11-2018 20:21:54:844 groupXX@192.168.1.128:35007 [INFO] : -- *** --> Server -- participants: [groupXX@192.168.1.128:35000, groupXX@192.168.1.128:35001, groupXX@192.168.1.128:35002, groupXX@192.168.1.128:35003, groupXX@192.168.1.128:35004, groupXX@192.168.1.128:35005, groupXX@192.168.1.128:35006, groupXX@192.168.1.128:35007, groupXX@192.168.1.128:35008, groupXX@192.168.1.128:35009]
30-11-2018 20:21:57:637 groupXX@192.168.1.128:35007 [INFO] : [groupXX@192.168.1.128:35007] ADD recipe: wgajbkvd
30-11-2018 20:22:14:862 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 1] TSAE session
30-11-2018 20:22:15:060 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 2] TSAE session
30-11-2018 20:22:15:620 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 3] TSAE session
30-11-2018 20:22:15:664 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 4] TSAE session
30-11-2018 20:22:15:998 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 5] TSAE session
30-11-2018 20:22:16:199 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 6] TSAE session
30-11-2018 20:22:16:422 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 7] TSAE session
30-11-2018 20:22:16:583 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 8] TSAE session
30-11-2018 20:22:16:724 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 9] TSAE session
30-11-2018 20:22:34:864 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 10] TSAE session
30-11-2018 20:22:34:921 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 11] TSAE session
30-11-2018 20:22:35:076 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 12] TSAE session
30-11-2018 20:22:35:079 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 13] TSAE session
30-11-2018 20:22:35:118 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 14] TSAE session
30-11-2018 20:22:35:150 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 15] TSAE session
30-11-2018 20:22:35:460 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 16] TSAE session
30-11-2018 20:22:35:465 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 17] TSAE session
30-11-2018 20:22:35:568 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 18] TSAE session
30-11-2018 20:22:54:864 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 19] TSAE session
30-11-2018 20:22:54:989 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 20] TSAE session
30-11-2018 20:22:55:044 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 21] TSAE session
30-11-2018 20:22:55:448 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 22] TSAE session
30-11-2018 20:22:55:613 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 23] TSAE session
30-11-2018 20:22:55:824 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 24] TSAE session
30-11-2018 20:22:55:857 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 25] TSAE session
30-11-2018 20:22:55:907 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 26] TSAE session
30-11-2018 20:22:56:250 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 27] TSAE session
30-11-2018 20:23:14:863 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 28] TSAE session
30-11-2018 20:23:14:908 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 29] TSAE session
30-11-2018 20:23:15:082 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 30] TSAE session
30-11-2018 20:23:15:163 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 31] TSAE session
30-11-2018 20:23:15:346 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 32] TSAE session
30-11-2018 20:23:15:392 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 33] TSAE session
30-11-2018 20:23:15:604 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 34] TSAE session
30-11-2018 20:23:15:776 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 35] TSAE session
30-11-2018 20:23:15:880 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 36] TSAE session
30-11-2018 20:23:34:864 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 37] TSAE session
30-11-2018 20:23:34:917 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 38] TSAE session
30-11-2018 20:23:35:131 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 39] TSAE session
30-11-2018 20:23:35:245 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 40] TSAE session
30-11-2018 20:23:35:278 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 41] TSAE session
30-11-2018 20:23:35:655 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 42] TSAE session
30-11-2018 20:23:35:893 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 43] TSAE session
30-11-2018 20:23:36:164 groupXX@192.168.1.128:35007 [TRACE] : [TSAESessionOriginatorSide] [session: 44] TSAE session
